APPL_ID,SITE_ID,CLNT_NAME,FREQ,FREQ_PAIR,BWIDTH,EQ_MDL,STN_NAME,STN_ADDR,SID_LONG,SID_LAT,CIRCUIT_LEN,LAT_DEG,LAT_MIN,LAT_SEC,LAT_DIR_IND,LONG_DEG,LONG_MIN,LONG_SEC,LONG_DIR_IND,CURR_LIC_NUM,APPL_DATE,TO_APPL_ID,MASA_LAKU,STASIUN_LAWAN,TO_LAT_DEG,TO_LAT_MIN,TO_LAT_SEC,TO_LAT_DIR_IND,TO_LONG_DEG,TO_LONG_MIN,TO_LONG_SEC,TO_LONG_DIR_IND
2.11E+12,1,"INDOSAT TBK, PT.",15103,14613,28000,15G_XMC2_128Q_28M_157M,030061_SD Impres - Parak Tanjung,"Jl SD Impres Parak Tanjung Jorong Biaro Nagari Biaro Gadang Kec Ampek Angkek,Parak Tanjung - Ampek Angkek,Padang,Sumatra Barat",100.4337306,-0.29013056,3.37,0,17,24.47,S,100,26,1.43,E,02228471-000SU/2620192024,26-Dec-19,2.11E+12,26-Dec-26,030195_Baso,0,17,7.6,S,100,27,49.19,E
2.44E+12,1,"XLSMART TELECOM SEJAHTERA, PT.",23450,22442,28000,FIBEAIR IP-20C (23GHZ),SMB_M_00109-NPDG_0406-AGAM AMPEK ANGKEK,"Jorong SitKabupaten Agamapung,Nagari Balai Gurah,Kec.Ampek Angkek Kab. Agam Provinsi Sumatera Barat",100.4297306,-0.31081944,2.19,0,18,38.95,S,100,25,47.03,E,02484096-000SU/2620212026,15-Sep-21,2.44E+12,15-Sep-26,SB00077-NPDG_0095-BATU TABA,0,19,13.4,S,100,24,45,E
2.58E+12,2,"XLSMART TELECOM SEJAHTERA, PT.",13227,12961,28000,FIBEAIR IP-20C (13GHZ),SB00145-NPDG_0103-NS NSM-BUKITTINGGI,0,100.4022222,-0.29872222,5.61,0,17,55.4,S,100,24,8,E,02557509-000SU/2620222027,26-Apr-22,2.58E+12,26-Apr-26,SB00076-NPDG_0106-KAMANG MAGEK (BUKAN DALAM KOTA),0,15,2.5,S,100,25,6.6,E
2.52E+12,2,"XLSMART TELECOM SEJAHTERA, PT.",22302,23310,28000,ZXMW NR8961 23G,IN20_NS_0066-NPDG_0306-AMPANG GADANG_AGAM,Jorong Koto Hilalang Nagari Lambah Kecamatan Ampek Angkek Kabupaten Agam Provinsi Sumatera Barat,100.4455833,-0.28813889,1.2,0,17,17.3,S,100,26,44.1,E,02536640-000SU/2620222027,11-Feb-22,2.52E+12,13-Feb-26,SSG_0670-NPDG_0051-SD Inpres - Parak Tanjung,0,17,28.69,S,100,26,6.98,E
2.90E+12,2,TELEKOMUNIKASI INDONESIA TBK,13143,12877,28000,MINI-LINK CN 210/CN510-13GHZ,BKT136_Tanjung Alam,JL. TANJUNG ALAM DESA TANJUNGALAM KEC.IV ANGKAT AGAM,100.41,-0.29361,6.766,0,17,36.996,S,100,24,36,E,02745640-000SU/2620232028,21-Aug-23,2.90E+12,30-Aug-26,LBB251_Munggu Gadang,0,14,10.284,S,100,23,20.4,E
2.15E+12,2,"TELEKOMUNIKASI SELULAR, PT.",22498,23506,28000,ERICSSON   23TN_Point to Point 28 GHz,BKT106_BKT WBBC 5,"Bonjo Alam, Agam, Sumatera Barat, Sumatera, 26126, Indonesia",100.4021875,-0.2986875,1.017,0,17,55.275,S,100,24,7.875,E,02273764-000SU/2620202025,4-Nov-24,2.15E+12,3-May-27,BKT136_Tanjung Alam,0,17,37.725,S,100,24,35.775,E
2.06E+12,2,"INDOSAT TBK, PT.",23226,22218,28000,23G_XMC2_256Q_28M_183M,030704_KAMPUANG NAN LIMO,"Bonjo Alam, Agam, Sumatera Barat, Sumatera, 26126, Indonesia",100.4021875,-0.2986875,1.412,0,17,55.275,S,100,24,7.875,E,02933815-000SU/2620242029,7-Nov-24,2.06E+12,13-Nov-26,030659_PAKAN LADANG,0,18,41.18,S,100,24,10.12,E
2.08E+12,2,"XLSMART TELECOM SEJAHTERA, PT.",14669,,28000,NEC iPASOLINK 400A Radio Microwave,425A310E BATU TABA,"Tanjung Alam, Agam, Sumatera Barat, Sumatera, 26191, Indonesia",100.4124375,-0.3203125,2.655,0,19,13.125,S,100,24,44.775,E,02951313-000SU/2620252026,19-Mar-25,2.08E+12,14-Feb-27,4259749E PASANEHAN BATABUAH,0,19,49.575,S,100,26,2.625,E
2.01E+12,2,"XLSMART TELECOM SEJAHTERA, PT.",22022,23030,28000,NEC iPASOLINK 400A Radio Microwave,425A310E BATU TABA,"Tanjung Alam, Agam, Sumatera Barat, Sumatera, 26191, Indonesia",100.4124375,-0.3203125,1.382,0,19,13.125,S,100,24,44.775,E,02877012-000SU/2620242025,28-Jun-24,2.01E+12,2-Jul-26,4259711E SUNGAI PUA KUBANG,0,19,58.125,S,100,24,45.675,E
2.11E+12,2,"XLSMART TELECOM SEJAHTERA, PT.",12793,,28000,FIBEAIR IP-20C (13GHZ),425A310E SOETTA MANGGIS GANTING,"Tanjung Alam, Agam, Sumatera Barat, Sumatera, 26191, Indonesia",100.4124375,-0.3203125,3.759,0,19,13.125,S,100,24,44.775,E,03009274-000SU/2620252026,22-Aug-25,2.11E+12,8-Sep-26,4259741E SOETTA MANGGIS GANTING,0,17,49.875,S,100,23,15.675,E
